"X","Y","DateTime"
"662.0","570.3","264123728362"
"656.5","961.1","264123736763"
"645.0","777.7","264123753360"
"702.7","846.4","264123770054"
"712.3","848.4","264123778541"
"715.3","843.2","264123786786"
"720.3","838.9","264123795068"
"703.9","742.5","264123803386"
"698.2","729.7","264123811858"
"698.3","705.7","264123820064"
"680.8","699.0","264123828412"
"681.1","710.0","264123836770"
"682.1","724.2","264123845036"
"703.9","729.9","264123853548"
"708.0","736.0","264123861661"
"707.2","741.5","264123870130"
"699.8","735.7","264123878380"
"699.8","735.7","264123886702"
"725.3","727.2","264123895183"
"751.4","705.7","264123903429"
"767.9","673.0","264123911801"
"772.0","641.9","264123920146"
"772.1","641.9","264123928499"
"767.8","641.4","264123936628"
"776.6","645.2","264123944933"
"768.1","647.3","264123953492"
"759.3","642.1","264123961833"
"765.8","634.9","264123970061"
"772.8","633.5","264123978490"
"782.5","625.0","264123986771"
"780.7","627.4","264123995101"
"780.7","627.4","264124003338"
"772.1","622.6","264124011843"
"772.6","628.8","264124020138"
"772.1","635.1","264124036701"
"774.8","633.6","264124045130"
"782.7","633.0","264124053457"
"784.3","630.0","264124061893"
"393.8","552.8","264124245018"
"391.0","550.3","264124253374"
"387.6","547.4","264124261725"
"396.9","549.5","264124270072"
"400.9","549.8","264124278359"
"397.1","548.7","264124286529"
"399.8","547.8","264124295002"
"405.7","555.4","264124303292"
"405.5","551.6","264124311774"
"405.9","548.5","264124319974"
"398.0","536.3","264124328417"
"398.7","536.7","264124336649"
"396.2","535.2","264124345090"
"393.0","534.7","264124353396"
"384.2","534.8","264124361766"
"367.7","534.7","264124370040"
"347.3","523.2","264124378372"
"295.9","490.9","264124386902"
"276.2","481.4","264124395049"
"230.8","453.2","264124403182"
"223.4","450.8","264124411513"
"218.3","445.7","264124420026"
"215.8","445.3","264124428247"
"216.3","450.9","264124436685"
"221.2","451.3","264124445111"
"225.0","451.6","264124453350"
"227.3","447.9","264124461696"
"211.1","446.2","264124470095"
"228.4","469.4","264124478226"
"224.0","469.6","264124486730"
"222.8","469.9","264124495115"
"199.8","437.0","264124503298"
"207.5","449.2","264124511802"
"192.4","431.6","264124520066"
"204.4","451.4","264124528419"
"206.4","449.7","264124536745"
"214.3","447.1","264124544975"
"215.6","444.7","264124553381"
"228.9","445.7","264124561687"
"262.6","441.7","264124569974"
"340.1","445.6","264124578288"
"439.5","438.3","264124586661"
"562.3","435.2","264124595075"
"681.8","418.8","264124603310"
"761.1","406.3","264124611715"
"804.7","405.3","264124620039"
"810.5","417.0","264124628254"
"798.0","400.1","264124636809"
"787.6","384.2","264124653296"
"814.4","409.8","264124661761"
"810.9","437.6","264124678319"
"821.3","437.9","264124686541"
"828.5","430.6","264124694917"
"829.1","431.7","264124703404"
"820.1","423.8","264124711662"
"820.5","425.0","264124720064"
"816.8","430.2","264124728168"
"803.0","438.7","264124736785"
"787.0","423.4","264124744911"
"765.0","436.6","264124753228"
"777.8","423.9","264124761767"
"773.7","445.8","264124769923"
"776.9","453.9","264124778233"
"773.3","447.7","264124786564"
"771.5","441.3","264124795061"
"771.4","441.5","264124803174"
"772.7","431.5","264124811451"
"772.5","447.0","264124819972"
"774.7","445.9","264124828380"
"777.1","452.0","264124836600"
"776.8","452.1","264124845016"
"774.0","453.9","264124853210"
"773.3","455.2","264124861654"
"772.4","423.2","264124869954"
"771.1","421.2","264124878190"
"772.9","428.6","264124886617"
"761.3","448.4","264124894923"
"770.7","440.8","264124903351"
"782.2","420.2","264124911469"
"800.6","380.3","264124919995"
"778.4","302.4","264124928278"
"786.9","248.7","264124936647"
"781.3","196.7","264124944997"
"818.8","196.4","264124953304"
"802.6","202.0","264124961495"
"802.5","202.0","264124969979"
"814.4","198.0","264124978176"
"817.4","201.7","264124986440"
"814.3","207.4","264124994953"
"808.7","212.9","264125003147"
"802.7","215.2","264125011550"
"802.8","215.2","264125019876"
"822.6","202.7","264125036602"
"824.7","201.1","264125044915"
"824.6","201.0","264125053170"
"818.9","203.0","264125061647"
"818.7","204.2","264125069906"
"818.7","204.1","264125078253"
"814.6","205.2","264125086582"
"814.3","215.7","264125094987"
"767.2","199.1","264125111657"
"773.3","196.9","264125119989"
"816.6","210.7","264125128199"
"817.8","210.7","264125136723"
"896.7","194.9","264125144919"
"933.4","159.7","264125153254"
"1002.7","144.2","264125161639"
"1085.9","162.1","264125186639"
"1084.3","146.9","264125203102"
"1074.0","146.0","264125211508"
"1078.7","159.7","264125228353"
"1088.6","162.9","264125236633"
"1082.6","171.0","264125245044"
"1072.9","173.3","264125253245"
"1070.0","174.3","264125261720"
"1078.2","168.6","264125269963"
"1081.9","168.7","264125278346"
"1092.4","171.5","264125286436"
"1092.6","173.2","264125294951"
"1095.2","174.1","264125303082"
"1095.2","174.0","264125311590"
"1096.8","173.5","264125319903"
"1086.6","171.9","264125328329"
"1085.9","171.6","264125336534"
"1081.7","171.4","264125344926"
"1081.7","165.2","264125353201"
"1093.5","170.7","264125361544"
"1096.1","170.2","264125369880"
"1090.5","175.0","264125378307"
"1087.6","174.4","264125386592"
"1069.7","179.0","264125394958"
"1099.3","173.8","264125403348"
"1160.9","170.8","264125419898"
"1231.3","168.3","264125428026"
"1358.4","163.7","264125436664"
"1396.3","167.9","264125444913"
"1396.3","167.9","264125453146"
"1396.3","167.9","264125478127"
"1397.2","152.0","264125486532"
"1392.2","152.5","264125503260"
"1384.4","144.1","264125511629"
"1389.4","152.4","264125519722"
"1386.3","148.5","264125528190"
